       gamfz        mwfz         tfz           p       ispfz
   1.2007E+00  2.5558E+01  3.8280E+03  1.6000E+02  0.0000E+00
   1.2031E+00  2.5558E+01  3.4767E+03  9.0211E+01  1.1665E+03
   1.2007E+00  2.5558E+01  3.8280E+03  1.6000E+02  0.0000E+00
   1.2004E+00  2.5582E+01  3.8377E+03  1.7000E+02  0.0000E+00
   1.2028E+00  2.5582E+01  3.4860E+03  9.5860E+01  1.1674E+03
   1.2004E+00  2.5582E+01  3.8377E+03  1.7000E+02        -NAN
   1.2045E+00  2.5657E+01  3.6623E+03  6.0000E+01  0.0000E+00
   1.2071E+00  2.5657E+01  3.3203E+03  3.3783E+01  1.1396E+03
   1.2045E+00  2.5657E+01  3.6623E+03  6.0000E+01        -NAN
   1.2038E+00  2.5715E+01  3.6861E+03  7.0000E+01  0.0000E+00
   1.2063E+00  2.5715E+01  3.3431E+03  3.9424E+01  1.1419E+03
   1.2038E+00  2.5715E+01  3.6861E+03  7.0000E+01  0.0000E+00
   1.2031E+00  2.5766E+01  3.7068E+03  8.0000E+01  0.0000E+00
   1.2056E+00  2.5766E+01  3.3629E+03  4.5067E+01  1.1438E+03
   1.2031E+00  2.5766E+01  3.7068E+03  8.0000E+01  0.0000E+00
   1.2025E+00  2.5811E+01  3.7252E+03  9.0000E+01  0.0000E+00
   1.2050E+00  2.5811E+01  3.3805E+03  5.0710E+01  1.1455E+03
   1.2025E+00  2.5811E+01  3.7252E+03  9.0000E+01  1.5372E-04
   1.2020E+00  2.5852E+01  3.7417E+03  1.0000E+02  0.0000E+00
   1.2045E+00  2.5852E+01  3.3962E+03  5.6355E+01  1.1470E+03
   1.2020E+00  2.5852E+01  3.7417E+03  1.0000E+02  0.0000E+00
   1.2016E+00  2.5889E+01  3.7566E+03  1.1000E+02  0.0000E+00
   1.2040E+00  2.5889E+01  3.4105E+03  6.2001E+01  1.1484E+03
